"","X","district","min_lat","min_long","max_lat","max_long","income","lat","long"
"111","110","South Parkdale","43.6342114","-79.4662576","43.6418741","-79.4241261","35207","43.63804275","-79.44519185"
"112","111","South Riverdale","43.6562993","-79.3534861","43.6734504","-79.3271338","53803","43.66487485","-79.34030995"
"113","112","St.Andrew-Windfields","43.7437135","-79.4071918","43.7638438","-79.3636587","100516","43.75377865","-79.38542525"
"114","113","Steeles","43.8070597","-79.332738","43.8200971","-79.301761","31786","43.8135784","-79.3172495"
"115","114","Stonegate-Queensway","43.6231016","-79.5197915","43.6498584","-79.48434","64140","43.63648","-79.50206575"
"116","115","Tam O'Shanter-Sullivan","43.7702648","-79.3178825","43.793395","-79.2876815","34200","43.7818299","-79.302782"
"117","116","Taylor-Massey","43.6907884","-79.3039782","43.6968278","-79.2898145","30430","43.6938081","-79.29689635"
"118","117","The Beaches","43.6642476","-79.3110959","43.6796921","-79.2807242","92580","43.67196985","-79.29591005"
"119","118","Thistletown-Beaumond Heights","43.7332987","-79.5804708","43.7446316","-79.5518587","32815","43.73896515","-79.56616475"
"120","119","Thorncliffe Park","43.7025389","-79.3567721","43.7148127","-79.3490983","28875","43.7086758","-79.3529352"
"121","120","Trinity-Bellwoods","43.6442552","-79.4251498","43.6560085","-79.4053096","50694","43.65013185","-79.4152297"
"122","121","University","43.6571873","-79.4106917","43.6674353","-79.395982","50757","43.6623113","-79.40333685"
"123","122","Victoria Village","43.7170361","-79.3232085","43.7405617","-79.2997785","35786","43.7287989","-79.3114935"
"124","123","Waterfront Communities-The Island","43.6367593","-79.4027979","43.6540854","-79.3541717","70600","43.64542235","-79.3784848"
"125","124","West Hill","43.7573041","-79.2006053","43.7775938","-79.1620802","33323","43.76744895","-79.18134275"
"126","125","West Humber-Clairville","43.7179171","-79.6216927","43.7562063","-79.5755986","31771","43.7370617","-79.59864565"
"127","126","Westminster-Branson","43.7670497","-79.4626318","43.7907034","-79.4438857","32724","43.77887655","-79.45325875"
"128","127","Weston","43.6952208","-79.5341308","43.708237","-79.5038247","32997","43.7017289","-79.51897775"
"129","128","Weston-Pelham Park","43.6679687","-79.4670554","43.681122","-79.4515224","33528","43.67454535","-79.4592889"
"130","129","Wexford/Maryvale","43.7305044","-79.3173181","43.7671141","-79.2853419","35047","43.74880925","-79.30133"
"131","130","Willowdale East","43.7561102","-79.4145146","43.7844294","-79.3890977","45326","43.7702698","-79.40180615"
"132","131","Willowdale West","43.7647786","-79.4408196","43.778926","-79.413783","44576","43.7718523","-79.4273013"
"133","132","Willowridge-Martingrove-Richview","43.6754758","-79.5709896","43.693378","-79.5283681","44177","43.6844269","-79.54967885"
"134","133","Woburn","43.745383","-79.250423","43.7831238","-79.206247","30878","43.7642534","-79.228335"
"135","134","Woodbine-Lumsden","43.6870012","-79.3178877","43.6988776","-79.3042898","47710","43.6929394","-79.31108875"
"136","135","Woodbine Corridor","43.6666437","-79.3222402","43.6853968","-79.3109172","55199","43.679196","-79.315908"
"137","136","Wychwood","43.6723194","-79.4347841","43.6833734","-79.4166539","54460","43.6778464","-79.425719"
"138","137","Yonge-Eglinton","43.6980672","-79.4097026","43.7121087","-79.3978114","89330","43.70508795","-79.403757"
"139","138","Yonge-St.Clair","43.6798508","-79.402311","43.6956854","-79.3924706","114174","43.6877681","-79.3973908"
"140","139","York University Heights","43.7438832","-79.5070534","43.7688253","-79.4640294","29958","43.75635425","-79.4855414"
"141","140","Yorkdale-Glen Park","43.7047633","-79.467532","43.7240976","-79.4438244","38527","43.71443045","-79.4556782"
